キャラクター名,アニメタイトル
神谷の母,行け!稲中卓球部
サンチェ,行け!稲中卓球部
キヨ子（キヨこ）,行け!稲中卓球部
太郎（たろう）,行け!稲中卓球部
岸本 ありさ（きしもと ありさ）,行け!稲中卓球部
上原（うえはら）,行け!稲中卓球部
渋谷 純一（しぶや じゅんいち）,行け!稲中卓球部
星野（ほしの）,行け!稲中卓球部
北島 三郎（きたじま さぶろう）,行け!稲中卓球部
大谷（おおたに）,行け!稲中卓球部
本上（ほんじょう）,行け!稲中卓球部
大青中学校（たいせいちゅうがっこう）男子卓球部顧問,行け!稲中卓球部
紀之川（きのかわ）,行け!稲中卓球部
城橋（じょうばし）,行け!稲中卓球部
宝山中学校（たからやまちゅうがっこう）男子卓球部顧問,行け!稲中卓球部
松沢（まつざわ）,行け!稲中卓球部
ジャッキー,行け!稲中卓球部
阿部 リカ（あべリカ）,行け!稲中卓球部
秀ちゃんの彼女,行け!稲中卓球部
北条の父,行け!稲中卓球部
北条の母,行け!稲中卓球部
真由美（まゆみ）,行け!稲中卓球部
愛のダブルス卓球大会の会長,行け!稲中卓球部
小林（こばやし）,行け!稲中卓球部
橋本（はしもと）,行け!稲中卓球部
ちあき,行け!稲中卓球部
ちあきの兄,行け!稲中卓球部
イトーじん,行け!稲中卓球部
クラタ,行け!稲中卓球部
カンチョーワールドカップの審判,行け!稲中卓球部
カンチョーワールドカップのチアガール,行け!稲中卓球部
真（まこと）,行け!稲中卓球部
草ムラ末っ子反逆軍（くさムラすえっこはんぎゃくぐん）,行け!稲中卓球部
竹内かん太（たけうち かんた）,行け!稲中卓球部
女教師,行け!稲中卓球部
井沢のクラスの担任,行け!稲中卓球部
日野（ひの）,行け!稲中卓球部
星野（ほしの）校長,行け!稲中卓球部
渡辺（わたなべ）,行け!稲中卓球部
社会教諭,行け!稲中卓球部
数学教諭,行け!稲中卓球部
伊藤（いとう）,行け!稲中卓球部
竹田のクラスの担任,行け!稲中卓球部
井上 さち子（いのうえ さちこ）,行け!稲中卓球部
高井戸（たかいど）,行け!稲中卓球部
桜井（さくらい）,行け!稲中卓球部
演劇部員たち,行け!稲中卓球部
鈴木（竹田のクラスメイト）（すずき）,行け!稲中卓球部
大前田（おおまえだ）,行け!稲中卓球部
仲田（なかた）,行け!稲中卓球部
岡田（おかだ）,行け!稲中卓球部
沢田（さわだ）,行け!稲中卓球部
千葉 みゆき（ちば みゆき）,行け!稲中卓球部
長谷川（はせがわ）,行け!稲中卓球部
菅原（すがわら）,行け!稲中卓球部
田辺 雪（たなべ ゆき）,行け!稲中卓球部
山本（やまもと）,行け!稲中卓球部
雨野（あまの）,行け!稲中卓球部
谷（たに）,行け!稲中卓球部
みき,行け!稲中卓球部
アムロ,行け!稲中卓球部
社長,行け!稲中卓球部
藤田 智子（ふじた ともこ）,行け!稲中卓球部
川西（かわにし）,行け!稲中卓球部
岩田（いわた）,行け!稲中卓球部
石井（いしい）,行け!稲中卓球部
ユキちゃん,行け!稲中卓球部
純ちゃん（じゅんちゃん）,行け!稲中卓球部
西田（にしだ）,行け!稲中卓球部
林（はやし）,行け!稲中卓球部
崎坂 すぐ夫（さきざか すぐお）,行け!稲中卓球部
石坂（いしざか）,行け!稲中卓球部
園川（そのかわ）,行け!稲中卓球部
長野（ながの）,行け!稲中卓球部
田代（たしろ）,行け!稲中卓球部
本坂（もとざか）,行け!稲中卓球部
稲豊北中学校男子卓球部部員たち,行け!稲中卓球部
加山（かやま）,行け!稲中卓球部
ピンポン兄貴,行け!稲中卓球部
サブ,行け!稲中卓球部
民子（たみこ）,行け!稲中卓球部
優子（ゆうこ）,行け!稲中卓球部
幽霊,行け!稲中卓球部
矢口（やぐち）,行け!稲中卓球部
早乙女（さおとめ）,行け!稲中卓球部
井蓋（いのぶた）,行け!稲中卓球部
猿山（さるやま）,行け!稲中卓球部
友田（ともだ）,行け!稲中卓球部
土井（どい）,行け!稲中卓球部
鬼塚（おにづか）,行け!稲中卓球部
ナナ,行け!稲中卓球部
松田（まつだ）,行け!稲中卓球部
船橋（ふなはし）,行け!稲中卓球部
益田（ますた）,行け!稲中卓球部
福山（ふくやま）,行け!稲中卓球部
松崎（まつざき）,行け!稲中卓球部
澤崎（さわざき）,行け!稲中卓球部
加藤（かとう）,行け!稲中卓球部
塩村（しおむら）,行け!稲中卓球部
飯田（いいだ）,行け!稲中卓球部
鈴木（鬼神中学校）（すずき）,行け!稲中卓球部
佐藤（さとう）,行け!稲中卓球部
犬神 龍子（いぬがみ りゅうこ）,行け!稲中卓球部
龍子の夫,行け!稲中卓球部
ヨシ子（ヨシこ）,行け!稲中卓球部
一条 さゆり（いちじょう さゆり）,行け!稲中卓球部
一条 タマ子（いちじょう タマこ）,行け!稲中卓球部
一条 雄大（いちじょう ゆうだい）,行け!稲中卓球部
小暮（こぐれ）,行け!稲中卓球部
奇田 刻陰（きだ こくいん）,行け!稲中卓球部
じいさん,行け!稲中卓球部
中年代の美女,行け!稲中卓球部
竹中 コータ（たけなか コータ）,行け!稲中卓球部
コータの父,行け!稲中卓球部
太田（医師）（おおた）,行け!稲中卓球部
ジャイアント前野（ジャイアントまえの）,行け!稲中卓球部
寂シ・ガーリ（さびシ・ガーリ）,行け!稲中卓球部
強ガ・リータ（つよガ・リータ）,行け!稲中卓球部
石井（いしい）（ラーメン屋の主人）,行け!稲中卓球部
カオル,行け!稲中卓球部
カオルの母,行け!稲中卓球部
ボギー,行け!稲中卓球部
マリリン,行け!稲中卓球部
ガポネ,行け!稲中卓球部
タカシ,行け!稲中卓球部
タカシの父,行け!稲中卓球部
タカシの母,行け!稲中卓球部
桜井（さくらい）（用務員）,行け!稲中卓球部
山本（やまもと）（少年）,行け!稲中卓球部
岡島（おかじま）,行け!稲中卓球部
たっちん,行け!稲中卓球部
田中 ひろし（たなか ひろし）,行け!稲中卓球部
カルロス,行け!稲中卓球部
ホセ,行け!稲中卓球部
マイク,行け!稲中卓球部
卑劣女子高等学校の卓球部顧問,行け!稲中卓球部
会田（あいだ）,行け!稲中卓球部
田口（たぐち）,行け!稲中卓球部
デルモブス（仮称）,行け!稲中卓球部
まちこ,行け!稲中卓球部
みゆき,行け!稲中卓球部
石成 達三（いしなり たつぞう）,行け!稲中卓球部
トシロウ,行け!稲中卓球部
謎のインド人,行け!稲中卓球部
川原（かわはら）,行け!稲中卓球部
よしひと,行け!稲中卓球部
銭湯の主人,行け!稲中卓球部
エンゲルバーグ,行け!稲中卓球部
空手家テッシン,行け!稲中卓球部
ジェニー,行け!稲中卓球部
タクちゃん,行け!稲中卓球部
タクちゃんの彼女,行け!稲中卓球部
渋谷の彼女,行け!稲中卓球部
中国オバケ（仮称）,行け!稲中卓球部
ニュージーランド人女性,行け!稲中卓球部
金田（かねだ）,行け!稲中卓球部
糸井（いとい）,行け!稲中卓球部
稲豊ファミリー牧場の主人,行け!稲中卓球部
老夫婦の夫,行け!稲中卓球部
老夫婦の妻,行け!稲中卓球部
サラリーマン,行け!稲中卓球部
フルーツじるじるの主人,行け!稲中卓球部
フルーツじるじるの主人の妻,行け!稲中卓球部
岡部（おかべ）,行け!稲中卓球部
アサ,行け!稲中卓球部
増田 あきひさ（ますだ あきひさ）,行け!稲中卓球部
富田 よしえ（とみだ よしえ）,行け!稲中卓球部
中根（なかね）,行け!稲中卓球部
畑中（はたなか）,行け!稲中卓球部
鈴木 朝夫（すずき あさお）,行け!稲中卓球部
香田（こうだ）,行け!稲中卓球部
りつ子（りつこ）,行け!稲中卓球部
よーこ,行け!稲中卓球部
ボートハウスの主人,行け!稲中卓球部
ボートハウスの主人の妻,行け!稲中卓球部
春彦（はるひこ）,行け!稲中卓球部
老人たちのリーダー,行け!稲中卓球部
大田（おおた）,行け!稲中卓球部
