Ya-Ya-yahがやってくる!
YAIBA
やえかのカルテ
夜王
やおよろっ!
八神くんの家庭の事情
やがて君になる
焼きたて!!ジャぱん
野球狂の詩

野球しようぜ!
薬師アルジャン
薬師寺涼子の怪奇事件簿
ヤ・ク・ソ・ク
八雲立つ
やけくそ天使
やけっぱちのマリア
やさぐれぱんだ
やさしい教師の躾けかた。
やさしいセカイのつくりかた
優しい月
ヤサシイワタシ
やじきた学園道中記
YASHA-夜叉-
YAKSA -ヤシャ-
野獣社員ツキシマ
ヤスコとケンジ
ヤスジのメッタメタガキ道講座
野生の君に首ったけ
YATAGARASU
やったね!甚八
やったね!ラモズくん
やったろうじゃん!!
奴の名はMARIA
夜刀の神つかい
ヤヌスの鏡
やぶれかぶれ
野望の王国
やまいだれ
山おんな壁おんな
山崎銀次郎
ヤマタイカ
山田太郎ものがたり
ヤマダのオロチ
ヤマチャン
邪馬台幻想記
ヤマトナデシコ七変化♥
やまとの羽根
ヤマノススメ
山びこ少女
山本善次朗と申します
闇貸師
闇神コウ〜暗闇にドッキリ!〜
闇狩人
闇金ウシジマくん
闇のイージス
闇のシルエット
闇の土鬼
闇のパープル・アイ
闇の末裔
ややプリ
やりたいほうだいフジえもん
やるっきゃ騎士
YAWARA!
ヤンキー君とメガネちゃん
ヤンキーフィギュア
YOUNG&FINE
ヤンほぼ
優&魅衣
USA
有害指定同級生
有害都市
誘拐ローン
有閑倶楽部
有閑みわさん
遊☆戯☆王
遊☆戯☆王R
遊☆戯☆王GX
遊撃宇宙戦艦ナデシコ
有限会社コボルト私立探偵社
幽玄漫玉日記
勇午
U-31
(有) 椎名百貨店
勇者カタストロフ!!
優駿の門
遊星仮面
ユート
UTOPIA 最後の世界大戦
夕凪の街 桜の国
ゆうひが丘の総理大臣
夕日ロマンス
円盤皇女ワるきゅーレ
Uボー
UMA大戦 ククルとナギ
ゆうやみ特攻隊
幽☆遊☆白書
ゆうれい小僧がやってきた!
ゆかにっし
ユキオ
由希子 -輝くいのち-
ゆきの国から
雪乃すくらんぶる
雪の峠
ゆきのはなふる
ユキポンのお仕事
雪ん子!!
ユグドラシルの果実
行け!!南国アイスホッケー部
湯けむりスナイパー
柚子森さん
油断ちゃん
ユニコ
ゆび
ゆびさきミルクティー
ユーベルブラット
夢色パティシエール
夢語りシリーズ
夢かもしんない
夢食案内人
夢喰見聞
夢喰い探偵―宇都宮アイリの帰還―
夢喰いメリー
夢源氏剣祭文
夢使い
夢で逢えたら
夢時計
ゆめのかよいじ
夢のクレヨン王国
ゆめの底
夢の真昼
夢降るラビット・タウン
夢幻の如く
夢みたいな星みたいな
夢みるエンジェルブルー
夢見る古都
夢みる太陽
夢をみたいの
ゆめゆめ☆ゆうゆう
ゆゆ式
ゆらふるべ
ユリア100式
ゆりキャン 〜ゆりかのキャンパスライフ〜
ユリ熊嵐
百合星人ナオコサン
ユルミとシメル
ゆるめいつ
ゆるゆり
ゆるりずむ
夜明け後の静
よいこ
よいこのしごと
ヨイコノミライ!
宵闇眩燈草紙
妖怪研究家ヨシムラ
妖怪始末人トラウマ!!
妖怪盗賊マザリシャリフ
妖怪人間ベム
妖怪のお医者さん
妖怪博士の朝食
妖怪番長
陽気なギャングが地球を回す
妖幻の血
ようこそ青
ようこそ夢現生徒会
妖狐伝義経千本桜
妖精王
妖魔
欲望の聖女 令嬢テレジア
欲望バス
ヨコハマ買い出し紀行
汚れてる暇なんかない
夜桜四重奏 〜ヨザクラカルテット〜
よしえサン
4ジゲン
吉田家のちすじ
吉永さん家のガーゴイル
吉原のMIRAIさん
ヨシモトムチッ子物語
美雪&一堂シリーズ
ヨッシーくん
よつばと!
夜逃げ屋本舗
世にも奇妙な漫☆画太郎
米豊TIMES
4年1組起立!
四年生
余の名はズシオ
4番サード
夜回り先生
よみきり♥もの
ヨメイロちょいす
ヨモギもちヤケた?
ヨリが跳ぶ
依姫綺譚
夜がおわらない
夜型愛人専門店-ブラッドハウンド-
夜の燈火と日向のにおい
冥のほとり 〜天機異聞〜
夜は散歩者
夜姫
夜まで待てない。
ヨルムンガンド
ヨロシク・トゥモロー
よろしくメカドック
よろず屋東海道本舗
よろずやベガス
弱虫
弱虫ペダル
42℃物語
四丁目の怪人くん
四丁目の夕日
よんでますよ、アザゼルさん。
