Aチャンネル  
ACCA13区監察課  
AIKa
AIR（TV版）
AKB0048  
ALDNOAH.ZERO  
ALL OUT!!  
AMNESIA  
Angel Beats!  
Another  
Arc The Lad
ARIA The ANIMATION
ARIA The NATURAL
ARIA The ORIGINATION
ARIA The NATURAL
ARIA The ORIGINATION
ARMS（アームズ）
AVENGER
AWOL Absent Without Leave（えいうぉーる  ）
AYAKASHI
B型H系  
Bビーダマン爆外伝（ボンバーマンビーダマン  ）
Bビーダマン爆外伝V
Bビーダマン爆外伝V
B伝説! バトルビーダマン（ビーレジェンド  ）
B伝説! バトルビーダマン 炎魂（  ファイヤースピリッツ）
B伝説! バトルビーダマン 炎魂（  ファイヤースピリッツ）
BanG Dream!  
BanG Dream! 2nd Season  
BanG Dream! 3rd Season  
BanG Dream! 2nd Season  
BanG Dream! 3rd Season  
BANANA FISH  
BEATLESS  
BEATLESS Final Stage  
BEATLESS Final Stage  
BECK
BLACK BLOOD BROTHERS
BLACK CAT
BLACK LAGOON
BLACK LAGOON The Second Barrage
BLACK LAGOON The Second Barrage
BLAZBLUE Alter Memory  
BLEACH 
BLOOD+
BLOODC  
BLOODC  
BLUE GENDER
BLUE SEED
BLUE DRAGON
BLUE DRAGON 天界の七竜
BLUE DRAGON 天界の七竜
BLUE DROP 〜天使達の戯曲〜
Bonjour♪恋味パティスリー  
BOYS BE…  
BØY ボーイ
BPROJECT〜鼓動*アンビシャス〜  
BPROJECT〜絶頂*エモーション〜  
BPROJECT〜絶頂*エモーション〜  
BPS バトルプログラマーシラセ
BRAVE10  
BRIGADOON まりんとメラン（ブリガドーン  ）
BROTHERS CONFLICT  
BTOOOM!  
B’T X
Bugってハニー
BURNUP EXCESS
BURNUP SCRAMBLE
BURNUP SCRAMBLE
BUS GAMER
BUZZER BEATER
C  
C3 シーキューブ  
Caligula カリギュラ  
CANAAN  
Canvas2 〜虹色のスケッチ〜  
capeta  
CAT’S♥EYE
CHAOS;CHILD  
CHAOS;HEAD
Charlotte  
citrus  
CLANNAD
CLANNAD 〜AFTER STORY〜
CLANNAD 〜AFTER STORY〜
CLAMP学園探偵団
Classroom☆Crisis  
CLAYMORE 
CLUSTER EDGE
COBRA THE ANIMATION  
CØDE:BREAKER  
CODEE
MissionE
MissionE
Code:Realize 〜創世の姫君〜  
COLORFUL
CONCEPTION  
COPPELION  
Cosmic Baton Girl コメットさん☆
D4プリンセス
DAN DOH!!
DARKER THAN BLACK 黒の契約者
DARKER THAN BLACK 流星の双子  
DARKER THAN BLACK 流星の双子  
DAYS  
