カードキャプターさくら  
カードファイト!! ヴァンガード  
カーニヴァル  
ガーリー・エアフォース  
ガーリッシュナンバー  
ガールズ&パンツァー  
ガールフレンド（仮）  
ガイキング LEGEND OF DAIKUMARYU  
快傑蒸気探偵団  
快傑ゾロ  
かいけつゾロリ  
まじめにふまじめ かいけつゾロリ  
まじめにふまじめ かいけつゾロリ  
かいけつタマゴン  
怪獣酒場 カンパーイ！
ガイスターズ FRACTIONS OF THE EARTH  
ガイストクラッシャー  
海賊王子  
会長はメイド様!  
海底少年マリン  
海底超特急マリンエクスプレス
カイトアンサ  
怪盗ジョーカー  
怪盗セイント・テール  
快盗天使ツインエンジェル 〜キュンキュン☆ときめきパラダイス!!〜  
怪盗プライド  
怪盗レーニャ  
カイバ  
怪物王女  
怪物くん（第1作）  
怪物くん（第2作）  
怪物くん（第2作）  
カウボーイビバップ  
ガヴリールドロップアウト  
科学救助隊テクノボイジャー  
科学忍者隊ガッチャマン  
科学忍者隊ガッチャマンII  
科学忍者隊ガッチャマンF  
ガッチャマン クラウズ  
ガッチャマン クラウズ インサイト  
科学忍者隊ガッチャマンII  
科学忍者隊ガッチャマンF  
ガッチャマン クラウズ  
ガッチャマン クラウズ インサイト  
ガッチャマン クラウズ インサイト  
科学冒険隊タンサー5  
がきデカ
鍵姫物語 永久アリス輪舞曲
下級生（TV版）
下級生2〜瞳の中の少女たち〜
下級生2〜瞳の中の少女たち〜
学園アリス  
学園戦記ムリョウ  
学戦都市アスタリスク  
学園ハンサム  
学園ヘヴン BOY'S LOVE HYPER!  
学園ベビーシッターズ  
学園黙示録 HIGHSCHOOL OF THE DEAD  
がくえんゆーとぴあ まなびストレート!  
格闘料理伝説ビストロレシピ  
格闘美神 武龍（かくとう びしん ウーロン）  
格闘美神 武龍 REBIRTH（  リバース）  
格闘美神 武龍 REBIRTH（  リバース）  
革命機ヴァルヴレイヴ  
かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜  
かくりよの宿飯  
陰からマモル!  
賭ケグルイ  
賭ケグルイ××  
賭ケグルイ××  
ガサラキ  
樫の木モック  
かしまし 〜ガール・ミーツ・ガール〜  
カスミン  
風が強く吹いている  
風の少女エミリー  
風の聖痕  
風の中の少女 金髪のジェニー  
旋風の用心棒（かぜの  ）  
風まかせ月影蘭  
家族ロビンソン漂流記 ふしぎな島のフローネ  
刀語  
ガタピシ  
課長王子  
活撃 刀剣乱舞  
ガッ活!  
学級王ヤマザキ  
がっこうぐらし!  
学校の怪談  
合身戦隊メカンダーロボ  
かつて神だった獣たちへ  
カッパの飼い方  
家庭教師ヒットマンREBORN!  
彼方のアストラ  
かなめも  
かのこん  
彼女がフラグをおられたら  
カバトット  
歌舞伎町シャーロック  
カブキブ!  
神風怪盗ジャンヌ  
神々の悪戯  
神様家族  
神様ドォルズ  
神さまのいない日曜日  
神様のメモ帳  
神様はじめました  
神様はじめました◎  
神様はじめました◎  
かみさまみならい ヒミツのここたま  
かみちゃまかりん  
かみちゅ!  
かみなり坊やピッカリ・ビー  
神のみぞ知るセカイ  
神のみぞ知るセカイII  
神のみぞ知るセカイ 女神篇  
神のみぞ知るセカイII  
神のみぞ知るセカイ 女神篇  
