1 ら
2 り
3 る
4 れ
5 ろ
6 脚注
ラーメン王子
ラーメン大好き小泉さん
ラーメンの鳥 パコちゃん
ラーメン発見伝
LIAR GAME
ライオンハート
雷火
らいか・デイズ
雷神〜RISING〜
ライジング!
ライジングインパクト
ライスショルダー
ライチ☆光クラブ
RIDEBACK
ライフ
生存
LIVE
ライブオン CARDLIVER 翔
ライン
ラヴァーズ・キス
ラヴ・バズ
裸眼でGO!
ラキア
らき☆すた
LA QUINTA CAMERA 〜5番目の部屋〜
ラグーンエンジン
楽園★キッズ
楽園通信社綺談
楽園ルウト
楽勝!ハイパードール
落第忍者乱太郎
ラグナロクオンライン アコさんに気をつけろ!
ラグナロクオンライン 今日はなにする?
ラグナロクオンライン それいけ冒険者たち!
ラグナロクオンライン メルマガ4コマ劇場
ラグナロック・ガイ
ラグナロックシティ
RADIATA STORIES The Epic of JACK
RADIATA STORIES The Song of RIDLEY
ラジオでGO!
ラジコンボーイ
ラシャーヌ!
ラジヲマン
ラストイニング
Rust Blaster
ラズ・メリディアン
落花流水
幸運男子 -ラッキーくん-
ラッキー嬢ちゃんのあたらしい仕事
ラッキーストライク
ラッキーナイトカスタードくん
辣韮の皮〜萌えろ!杜の宮高校漫画研究部〜
Luck Stealer
RASH!!
RATMAN
乱破S.S.
乱飛乱外
ラディカル・ホスピタル
ラバーズ7
ラフ
"LOVe"
ラブ★コン
ラブシック
ラブスイーツ プチモン・コレクション
ラブセレブ
LOVE SO LIFE
ラブ・ゾンビ
ラブぱに
ラブひな
ラブ・ベリッシュ!
ラブ・ぽっ!
ラブホリック
LOVE MY LIFE
LOVE ME DO
ラブ・モンスター
ラブやん
らぶらぶルールブック
恋愛ラボ
らぶりー・デコレーション!!
らぶりん☆アイスクリーム
ラブルートゼロ
LOVELESS
ラブロマ
ランダム・ウォーク
RUN day BURST
Landreaall
ランブルフィッシュ
らんぽう
らんま1/2
リアル
リアルアカウント
Real Clothes
現実もたまには嘘をつく
りあるる
Leader's High!
リーツェンの桜
リーマンギャンブラーマウス
リヴァイアサン
リカ
力王
陸軍中野予備校
陸上防衛隊まおちゃん
リクドウ
リコーダーとランドセル
離婚同居
離婚予定日
リストラマン太郎
リストランテ・パラディーゾ
リズミカル☆スタイル
リセットマン
リセット・ゲーム
りぜるまいん
理想雀士ドトッパー
Lip☆
打撃王 凛
リトル巨人くん
リビドーハンタータケル
りびんぐゲーム
りぶねす
リプレイJ
リベロ革命!!
リボンの騎士
リメークの宴
リモート
龍王魔法陣
龍三郎シリーズ
流星機ガクセイバー
龍の花わずらい
RYU FINAL
龍狼伝
リュオン
リョウ
陵子の心霊事件簿
料して候
りりあ01
リリカル忍伝すっぱだもん!
りりむキッス
RIN
臨機応変マン
RING
リングにかけろ
リングにかけろ2
林檎と蜂蜜
りんごの星時間
臨死!!江古田ちゃん
RIN-JIN
隣人13号
隣人を妹せよ!
凛としてカレンな花のように
ルー=ガルー 忌避すべき狼
ROOKIES
ルーキー野球団・東北楽天ゴールデンイーグルス物語
ルーズリーフ
ルードヴィッヒ革命
ルードウィヒ・B
ルーとソロモン
ルート225
ROOTねこねこ
ルートパラダイス
るきさん
るくるく
ルサルカは還らない
ルサンチマン
ルナハイツ
LUNO
ルパン三世
ルパン三世M
ルパン三世 (Shusay版)
ルパン三世Y
ルリアーにゃ!!
ルリカ発進!
流狼の旅
るろうに剣心 -明治剣客浪漫譚-
RAY
0からはじめましょう
冷食捜査官
冷蔵庫探偵
RAISE
霊長類最強伝説 ゴリ夫
レイとルリのスイートライフ
霊能力者 小田霧響子の嘘
RAVE
Rape+2πr
RAVEN
黎明のアルカナ
レイモンド
零落
レインボー戦隊ロビン
RAINBOW-二舎六房の七人-
レヴァリアース
レース鳩0777
Wrestling with もも子
LEO the GOLD
レガッタ〜君といた永遠〜
歴史劇画 大宰相
REGGIE
レジェンズ
レストアガレージ251車屋夢次郎
烈火の炎
REC
Let's豪徳寺!
LET'S ぬぷぬぷっ
レッツ バリボー!
レッツラゴン
RED
redEyes
レディ!!
L16
レディー・マスカレード
レディ・マニッシュ
Lady Midnight
レニフィルの冒険
レベルE
レムリア -海の黙示録-
レモンエンジェル
レモンの季節
レモンの休日
恋愛カタログ
恋愛向上委員会 ジューシーフルーツ
恋愛ジャンキー
恋愛出世絵巻 えん×むす
恋愛ディストーション
恋愛内科25時
恋愛のばか
RANGEMAN
レンタルきゅーと
レンタルマギカ

ロイアルミストブレード
LAWMAN
ローゼンメイデン
覇-LORD-
ロープボール
ろーぷれぐるぐる
Roma君
ローラカイザー
62日の砂時計
ろくでなしBLUES
六道の悪女たち
六門天外モンコレナイト
ロケットでつきぬけろ!
R・PRINCESS
ロケットマン
ロケットマン
ろこモーション
ロザリオとバンパイア
LOST+BRAIN
LOST MAN
ロストワールド
ロダンのココロ
ロッカーのハナコさん
六華のささやき
ロッキーの花よめ
ロッキン★ヘブン
ロックマン
ロックマン8
ロックマンX
ロックマン&フォルテ
ロックマンエグゼ
ロックマンゼロ
ロックマンMANIAX
ロックマンメガミックス
ロックマン 甦るブルース
ロックマンリミックス
ロックンゲームボーイ
ロッテのおもちゃ!
