だぁ!だぁ!だぁ!  
ダーティペア  
ダーリン・イン・ザ・フランキス  
タイガーマスク  
タイガーマスクII世  
タイガーマスクW  
タイガーマスクII世  
タイガーマスクW  
大空魔竜ガイキング
ガイキング LEGEND OF DAIKUMARYU
ガイキング LEGEND OF DAIKUMARYU
大正野球娘。  
大草原の小さな天使 ブッシュベイビー
タイタニア  
大図書館の羊飼い  
タイドライン・ブルー  
逮捕しちゃうぞ (1st SEASON)  
逮捕しちゃうぞ SECOND SEASON  
逮捕しちゃうぞフルスロットル  
逮捕しちゃうぞ SECOND SEASON  
逮捕しちゃうぞフルスロットル  
たいむとらぶるトンデケマン!
タイムボカンシリーズ
タイムボカン
ヤッターマン（第1作）
ゼンダマン
タイムパトロール隊オタスケマン
ヤットデタマン
逆転イッパツマン
イタダキマン
ヤッターマン（第2作）
タイムボカン
ヤッターマン（第1作）
ゼンダマン
タイムパトロール隊オタスケマン
ヤットデタマン
逆転イッパツマン
イタダキマン
ヤッターマン（第2作）
ダイヤのA  
太陽の牙ダグラム
太陽の子エステバン
太陽の勇者ファイバード
ダイバージェンス・イヴ
みさきクロニクル 〜ダイバージェンス・イヴ〜
みさきクロニクル 〜ダイバージェンス・イヴ〜
だがしかし  
だがしかし2  
だがしかし2  
高橋留美子劇場
たくのみ。  
田中くんはいつもけだるげ  
高橋留美子劇場 人魚の森
宝島
だから僕は、Hができない。  
タクティカルロア
たこやきマントマン
黄昏乙女×アムネジア  
戦え!オスパー
闘将!!拉麵男（たたかえラーメンマン）
多田くんは恋をしない  
立花館To Lieあんぐる  
ダッシュ勝平
ダッシュ!四駆郎
タッチ
盾の勇者の成り上がり
楽しいウイロータウン
W〜ウィッシュ〜（ダブルウィッシュ）
たまこまーけっと  
タマ&フレンズ 探せ!魔法のプニプニストーン
たまゆら〜hitotose〜
たまゆら〜もあぐれっしぶ〜  
たまゆら〜もあぐれっしぶ〜  
球詠  
ダメおやじ
だめっこどうぶつ
タユタマ Kiss on my Deity
ダンガンロンパ 希望の学園と絶望の高校生 The Animation  
ダンガンロンパ3 The End of 希望ヶ峰学園  
ダンガンロンパ3 The End of 希望ヶ峰学園  
探検ドリランド  
探検ドリランド 1000年の真宝  
探検ドリランド 1000年の真宝  
断裁分離のクライムエッジ  
男子高校生の日常  
ダンジョンに出会いを求めるのは間違っているだろうか  
ソード・オラトリア ダンジョンに出会いを求めるのは間違っているだろうか外伝  
ダンジョンに出会いを求めるのは間違っているだろうかⅡ  
ダンジョンに出会いを求めるのは間違っているだろうかⅢ  
ソード・オラトリア ダンジョンに出会いを求めるのは間違っているだろうか外伝  
ダンジョンに出会いを求めるのは間違っているだろうかⅡ  
ダンジョンに出会いを求めるのは間違っているだろうかⅢ  
ダンス イン ザ ヴァンパイアバンド  
ダンタリアンの書架  
だんちがい  
団地ともお  
