イーグルサム
家なき子
家なき子レミ
伊賀野カバ丸
いきなりダゴン
イクシオン サーガ DT - 
行け!稲中卓球部
イケてる2人
異国迷路のクロワーゼ The Animation - 
石田とあさくら - 
いじわるばあさん（第1作）
いじわるばあさん（第2作）
いじわるばあさん（第2作）
異世界かるてっと
異世界かるてっと2 
異世界かるてっと2 
異世界食堂
異世界チート魔術師
異世界はスマートフォンとともに。 - 
異世界魔王と召喚少女の奴隷魔術 - 
いたずら天使チッポちゃん
イタズラなKiss
韋駄天翔（イダテンジャンプ）
一期一会 恋バナ友バナ
いちご100%（TV版）
苺ましまろ
いちばんうしろの大魔王 - 
いつか天魔の黒ウサギ - 
一騎当千
一騎当千 Dragon Destiny
一騎当千 Great Guardians
一騎当千 XTREME XECUTOR - 
一騎当千 Dragon Destiny
一騎当千 Great Guardians
一騎当千 XTREME XECUTOR - 
一休さん
一球さん
一週間フレンズ。 - 
一発貫太くん
いなかっぺ大将
イナズマイレブン
イナズマイレブンGO
イナズマイレブンGO クロノストーン
イナズマイレブンGO ギャラクシー
イナズマイレブン アレスの天秤
イナズマイレブン オリオンの刻印
イナズマイレブンGO
イナズマイレブンGO クロノストーン
イナズマイレブンGO ギャラクシー
イナズマイレブン アレスの天秤
イナズマイレブン オリオンの刻印
いなり、こんこん、恋いろは。 - 
頭文字D（イニシャルディー）
いぬかみっ!
犬神さんと猫山さん - 
犬とハサミは使いよう - 
妖狐×僕SS - 
犬夜叉
犬夜叉 完結編 - 
犬夜叉 完結編 - 
異能バトルは日常系のなかで - 
イノセント・ヴィーナス
今、そこにいる僕
妹さえいればいい。 - 
11eyes - 
色づく世界の明日から - 
